,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,title,title_detail,link,links,author,authors,published,published_parsed,tags,id,guidislink,summary,source,appids,title_summary,nouns,date_str
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,‘Dread Delusion’ Explores Open Worlds Plagued by Undead Curses,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Dread Delusion’ Explores Open Worlds Plagued by Undead Curses'}",https://indiegamesplus.com/dread-delusion-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/dread-delusion-review/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Wed, 22 Jun 2022 11:00:16 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=22, tm_hour=11, tm_min=0, tm_sec=16, tm_wday=2, tm_yday=173, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'dread delusion', 'scheme': None, 'label': None}, {'term': 'early access', 'scheme': None, 'label': None}, {'term': 'exploration', 'scheme': None, 'label': None}, {'term': 'horror', 'scheme': None, 'label': None}, {'term': 'Lovely Hellplace', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50185,False,"dread delusion finds adventure and danger beneath a blood-red sky, carving a path through lands infested with strange, exciting monstrosities. the lands below have been infected with an undead curse, and humanity...
the post ‘dread delusion’ explores open worlds plagued by undead curses appeared first on indie games plus.",indigames_plus,1574240.0,"‘Dread Delusion’ Explores Open Worlds Plagued by Undead Curses dread delusion finds adventure and danger beneath a blood-red sky, carving a path through lands infested with strange, exciting monstrosities. the lands below have been infected with an undead curse, and humanity...
the post ‘dread delusion’ explores open worlds plagued by undead curses appeared first on indie games plus.","['a blood-red sky', 'danger', 'dread delusion', 'undead', 'the lands', 'lands', 'strange, exciting monstrosities', 'indie games', 'adventure', 'undead curses', 'open worlds', 'a path']",2022-06-22 11:00:16
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Trailer Tuesday – Influence the Lovely Lake,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': 'Trailer Tuesday – Influence the Lovely Lake'}",https://indiegamesplus.com/trailer-tuesday-influence-the-lovely-lake/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/trailer-tuesday-influence-the-lovely-lake/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Tue, 21 Jun 2022 11:00:51 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=21, tm_hour=11, tm_min=0, tm_sec=51, tm_wday=1, tm_yday=172, tm_isdst=0)","[{'term': 'Features', 'scheme': None, 'label': None}, {'term': 'A Story Beside', 'scheme': None, 'label': None}, {'term': 'Ashina: The Red Witch', 'scheme': None, 'label': None}, {'term': 'HAYAI', 'scheme': None, 'label': None}, {'term': 'Influence Inc.', 'scheme': None, 'label': None}, {'term': 'My Lovely Wife', 'scheme': None, 'label': None}, {'term': 'Mysteries Under Lake Ophelia', 'scheme': None, 'label': None}, {'term': 'Pinku Kult Hex Mortis', 'scheme': None, 'label': None}, {'term': 'Reality Layer Zero', 'scheme': None, 'label': None}, {'term': 'Tin Can', 'scheme': None, 'label': None}, {'term': 'trailer tuesday', 'scheme': None, 'label': None}, {'term': 'Z-Warp', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50126,False,"trailer tuesday sees us using social media to influence others, casting lines in a strange lake, and trying to survive in a complicated escape pod.   influence, inc. ﻿ “manage a digital...
the post trailer tuesday – influence the lovely lake appeared first on indie games plus.",indigames_plus,634410.0,"Trailer Tuesday – Influence the Lovely Lake trailer tuesday sees us using social media to influence others, casting lines in a strange lake, and trying to survive in a complicated escape pod.   influence, inc. ﻿ “manage a digital...
the post trailer tuesday – influence the lovely lake appeared first on indie games plus.","['the post trailer', 'lines', 'others', '\xa0 influence', 'the lovely lake trailer', 'a complicated escape pod', 'indie games', 'us', 'inc. \ufeff', 'a strange lake', 'social media', 'the lovely lake']",2022-06-21 11:00:51
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,‘Witchtastic’ Tasks Multiple Witches With Brewing Potions Together,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Witchtastic’ Tasks Multiple Witches With Brewing Potions Together'}",https://indiegamesplus.com/witchtastic-preview/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/witchtastic-preview/'}]",Jupiter Hadley,[{'name': 'Jupiter Hadley'}],"Mon, 20 Jun 2022 11:00:31 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=20, tm_hour=11, tm_min=0, tm_sec=31, tm_wday=0, tm_yday=171, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'local co-op', 'scheme': None, 'label': None}, {'term': 'multiplayer', 'scheme': None, 'label': None}, {'term': 'online co-op', 'scheme': None, 'label': None}, {'term': 'Red Fur Games', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}, {'term': 'Witchtastic', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50053,False,"witchtastic is a much less chaotic overcooked-style cooking game, but instead of making different meals, you brew potions to give to an owl to deliver. scrolls at the top of the screen...
the post ‘witchtastic’ tasks multiple witches with brewing potions together appeared first on indie games plus.",indigames_plus,1080010.0,"‘Witchtastic’ Tasks Multiple Witches With Brewing Potions Together witchtastic is a much less chaotic overcooked-style cooking game, but instead of making different meals, you brew potions to give to an owl to deliver. scrolls at the top of the screen...
the post ‘witchtastic’ tasks multiple witches with brewing potions together appeared first on indie games plus.","['a much less chaotic overcooked-style cooking game', 'different meals', 'the top', '\nthe post ‘witchtastic’ tasks', '‘witchtastic’ tasks', 'potions', 'multiple witches', 'brewing potions', 'scrolls', 'the screen', 'indie games', 'an owl']",2022-06-20 11:00:31
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,‘Kaiju Wars’ Aims to Strategically Stall and Misdirect Giant Monsters,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Kaiju Wars’ Aims to Strategically Stall and Misdirect Giant Monsters'}",https://indiegamesplus.com/kaiju-wars-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/kaiju-wars-review/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Fri, 17 Jun 2022 11:00:04 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=11, tm_min=0, tm_sec=4, tm_wday=4, tm_yday=168, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'Foolish Mortals Games', 'scheme': None, 'label': None}, {'term': 'Kaiju Wars', 'scheme': None, 'label': None}, {'term': 'Linux', 'scheme': None, 'label': None}, {'term': 'Mac', 'scheme': None, 'label': None}, {'term': 'Michael Long', 'scheme': None, 'label': None}, {'term': 'strategy', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50120,False,"kaiju wars has you under attack from colossal beasts, and you’ll never beat them. if you can use tanks, jets, and buildings to misdirect them enough, though… as the mayor of floatio...
the post ‘kaiju wars’ aims to strategically stall and misdirect giant monsters appeared first on indie games plus.",indigames_plus,1508400.0,"‘Kaiju Wars’ Aims to Strategically Stall and Misdirect Giant Monsters kaiju wars has you under attack from colossal beasts, and you’ll never beat them. if you can use tanks, jets, and buildings to misdirect them enough, though… as the mayor of floatio...
the post ‘kaiju wars’ aims to strategically stall and misdirect giant monsters appeared first on indie games plus.","['colossal beasts', 'giant monsters', 'the mayor', 'tanks', 'attack', 'jets', 'buildings', 'indie games', 'floatio', 'giant monsters kaiju wars']",2022-06-17 11:00:04
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,‘Uninvited’ Dodges Ghosts That Come For Sweaty Victims,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Uninvited’ Dodges Ghosts That Come For Sweaty Victims'}",https://indiegamesplus.com/uninvited-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/uninvited-review/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Thu, 16 Jun 2022 11:00:55 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=16, tm_hour=11, tm_min=0, tm_sec=55, tm_wday=3, tm_yday=167, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'horror', 'scheme': None, 'label': None}, {'term': 'octavi navarro', 'scheme': None, 'label': None}, {'term': 'susanna granell', 'scheme': None, 'label': None}, {'term': 'Uninvited', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50110,False,"a hot summer day is a lousy time to be hunted by a ghost that can track you by your sweat. uninvited will see you trying to stay dry and alive in...
the post ‘uninvited’ dodges ghosts that come for sweaty victims appeared first on indie games plus.",indigames_plus,1838340.0,"‘Uninvited’ Dodges Ghosts That Come For Sweaty Victims a hot summer day is a lousy time to be hunted by a ghost that can track you by your sweat. uninvited will see you trying to stay dry and alive in...
the post ‘uninvited’ dodges ghosts that come for sweaty victims appeared first on indie games plus.","['the post', 'a ghost', 'your sweat', 'ghosts', 'a lousy time', 'sweaty victims', '‘uninvited’ dodges ghosts', 'a hot summer day', 'indie games']",2022-06-16 11:00:55
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,‘DRAINUS’ – A Shmup of Striking Back With Carefully-Absorbed Damage,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘DRAINUS’ – A Shmup of Striking Back With Carefully-Absorbed Damage'}",https://indiegamesplus.com/drainus-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/drainus-review/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Wed, 15 Jun 2022 11:00:27 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=15, tm_hour=11, tm_min=0, tm_sec=27, tm_wday=2, tm_yday=166, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'DRAINUS', 'scheme': None, 'label': None}, {'term': 'shmup', 'scheme': None, 'label': None}, {'term': 'Team Ladybug', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}, {'term': 'WSS playground', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50084,False,"drainus gives you a reflector shield that lets you temporarily devour damaging shots and fire them right back at your enemies.  if you use it with care. you’re a slave to the...
the post ‘drainus’ – a shmup of striking back with carefully-absorbed damage appeared first on indie games plus.",indigames_plus,1975360.0,"‘DRAINUS’ – A Shmup of Striking Back With Carefully-Absorbed Damage drainus gives you a reflector shield that lets you temporarily devour damaging shots and fire them right back at your enemies.  if you use it with care. you’re a slave to the...
the post ‘drainus’ – a shmup of striking back with carefully-absorbed damage appeared first on indie games plus.","['care', 'your enemies', 'a shmup', 'carefully-absorbed damage', 'a reflector shield', '‘drainus', 'the...\nthe post ‘drainus', 'indie games', 'a slave', 'damaging shots', 'carefully-absorbed damage drainus']",2022-06-15 11:00:27
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,"Trailer Tuesday – Climb the Turtle Dome, Please","{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': 'Trailer Tuesday – Climb the Turtle Dome, Please'}",https://indiegamesplus.com/trailer-tuesday-climb-the-turtle-dome-please/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/trailer-tuesday-climb-the-turtle-dome-please/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Tue, 14 Jun 2022 11:00:26 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=14, tm_hour=11, tm_min=0, tm_sec=26, tm_wday=1, tm_yday=165, tm_isdst=0)","[{'term': 'Features', 'scheme': None, 'label': None}, {'term': 'BORE DOME', 'scheme': None, 'label': None}, {'term': 'Madshot', 'scheme': None, 'label': None}, {'term': 'Please', 'scheme': None, 'label': None}, {'term': 'Stereophyta', 'scheme': None, 'label': None}, {'term': 'The Cleaner', 'scheme': None, 'label': None}, {'term': 'The Night of the Scissors', 'scheme': None, 'label': None}, {'term': 'trailer tuesday', 'scheme': None, 'label': None}, {'term': 'Turtle Paint', 'scheme': None, 'label': None}, {'term': 'Underland: The Climb', 'scheme': None, 'label': None}, {'term': 'Void Pyramid', 'scheme': None, 'label': None}, {'term': 'Wildcat Gun Machine', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50089,False,"trailer tuesday finds music in every action, channels creativity into painting some turtles, and captures the feeling of boredom and mediocrity.   the night of the scissors ﻿ “encouraged by his friend,...
the post trailer tuesday – climb the turtle dome, please appeared first on indie games plus.",indigames_plus,1206090.0,"Trailer Tuesday – Climb the Turtle Dome, Please trailer tuesday finds music in every action, channels creativity into painting some turtles, and captures the feeling of boredom and mediocrity.   the night of the scissors ﻿ “encouraged by his friend,...
the post trailer tuesday – climb the turtle dome, please appeared first on indie games plus.","['his friend', 'the post trailer', 'the turtle dome', 'the scissors', 'the feeling', 'tuesday', 'mediocrity', 'some turtles', 'music', 'channels creativity', 'every action', 'indie games', '\ufeff', 'boredom', 'the night']",2022-06-14 11:00:26
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,‘Everdream Valley’ Tends Your Grandparents’ Fields on Summer Holiday,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Everdream Valley’ Tends Your Grandparents’ Fields on Summer Holiday'}",https://indiegamesplus.com/everdream-valley-preview/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/everdream-valley-preview/'}]",Jupiter Hadley,[{'name': 'Jupiter Hadley'}],"Mon, 13 Jun 2022 11:00:48 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=13, tm_hour=11, tm_min=0, tm_sec=48, tm_wday=0, tm_yday=164, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'Everdream Valley', 'scheme': None, 'label': None}, {'term': 'Mooneaters', 'scheme': None, 'label': None}, {'term': 'simulation', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50048,False,"everdream valley is an adorable farming game where you can spend a few months helping your grandparents work the fields and raise the livestock. slice of life, farming indie games are among...
the post ‘everdream valley’ tends your grandparents’ fields on summer holiday appeared first on indie games plus.",indigames_plus,1403650.0,"‘Everdream Valley’ Tends Your Grandparents’ Fields on Summer Holiday everdream valley is an adorable farming game where you can spend a few months helping your grandparents work the fields and raise the livestock. slice of life, farming indie games are among...
the post ‘everdream valley’ tends your grandparents’ fields on summer holiday appeared first on indie games plus.","['slice', 'your grandparents’ fields', 'the fields', 'your grandparents', '‘everdream valley', 'summer holiday', 'a few months', 'life', 'indie games', 'the livestock', '\nthe post ‘everdream valley', 'summer holiday everdream valley', 'an adorable farming game']",2022-06-13 11:00:48
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,‘Rogue Legacy 2’ – A Stunning Improvement on an Already-Great Roguelite,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Rogue Legacy 2’ – A Stunning Improvement on an Already-Great Roguelite'}",https://indiegamesplus.com/rogue-legacy-2-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/rogue-legacy-2-review/'}]",Dann Sullivan,[{'name': 'Dann Sullivan'}],"Fri, 10 Jun 2022 11:00:32 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=10, tm_hour=11, tm_min=0, tm_sec=32, tm_wday=4, tm_yday=161, tm_isdst=0)","[{'term': 'Reviews', 'scheme': None, 'label': None}, {'term': 'action', 'scheme': None, 'label': None}, {'term': 'Cellar Door Games', 'scheme': None, 'label': None}, {'term': 'exploration', 'scheme': None, 'label': None}, {'term': 'Rogue Legacy 2', 'scheme': None, 'label': None}, {'term': 'roguelite', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}, {'term': 'xbox one', 'scheme': None, 'label': None}, {'term': 'xbox series x/s', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50017,False,"with new classes, traits, and other additions, rogue legacy 2 improves on everything the original did well while slipping in some other great elements. rogue legacy was all about succession. well, that...
the post ‘rogue legacy 2’ – a stunning improvement on an already-great roguelite appeared first on indie games plus.",indigames_plus,1253920.0,"‘Rogue Legacy 2’ – A Stunning Improvement on an Already-Great Roguelite with new classes, traits, and other additions, rogue legacy 2 improves on everything the original did well while slipping in some other great elements. rogue legacy was all about succession. well, that...
the post ‘rogue legacy 2’ – a stunning improvement on an already-great roguelite appeared first on indie games plus.","['traits', '...\nthe post', 'some other great elements', 'an already-great roguelite', 'succession', 'everything', 'indie games', 'other additions', '‘rogue legacy', 'a stunning improvement', 'rogue legacy', 'new classes']",2022-06-10 11:00:32
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,‘Will Die Alone’ Deletes Memories to Create the Future You Want,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Will Die Alone’ Deletes Memories to Create the Future You Want'}",https://indiegamesplus.com/will-die-alone-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/will-die-alone-review/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Thu, 09 Jun 2022 11:00:42 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=9, tm_hour=11, tm_min=0, tm_sec=42, tm_wday=3, tm_yday=160, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'Arianna Ravioli', 'scheme': None, 'label': None}, {'term': 'narrative', 'scheme': None, 'label': None}, {'term': 'nintendo switch', 'scheme': None, 'label': None}, {'term': 'simulation', 'scheme': None, 'label': None}, {'term': 'Will Die Alone', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}, {'term': 'xbox one', 'scheme': None, 'label': None}, {'term': 'xbox series x/s', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50091,False,"will die alone tasks you with purging just the right memories from peoples’ minds in order to shape their future into what they want it to be. the dewitt corp has developed...
the post ‘will die alone’ deletes memories to create the future you want appeared first on indie games plus.",indigames_plus,1879820.0,"‘Will Die Alone’ Deletes Memories to Create the Future You Want will die alone tasks you with purging just the right memories from peoples’ minds in order to shape their future into what they want it to be. the dewitt corp has developed...
the post ‘will die alone’ deletes memories to create the future you want appeared first on indie games plus.","['order', 'the post', 'the dewitt corp', 'just the right memories', 'peoples’ minds', 'their future', 'memories', 'indie games', 'the future']",2022-06-09 11:00:42
