,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,appids
0,117043622,english,"Edit: 11 hours and most of the available content later... yeah, it's still good. A sentient lump of flesh gave me an existential crisis, 10/10. 

A wonderfully weird mix of King's Field and classic Elder Scrolls, with a bit of Lovecraft/Cronenberg and a PSX aesthetic dashed in for flavor. 

[strike]I haven't spent much time in the early access release yet, but the demo I played way back when was excellent, and I can't wait to dive into the weird world of Dread Delusion.[/strike] If you enjoy mid-90's styled action RPGs, I think this will be right up your wobbly-textured alley.

The game starts fairly linearly, but after the initial introduction (roughly half an hour or so?), the map opens up significantly. You'll come across towns, merchants, NPCs, skill checks, and quests aplenty. There's a surprising amount of lore to the world, and a fairly straight-forward leveling system.

All-in-all, absolutely worth the $20 price if retro action RPGs and strange, almost alien, worlds are your thing.",1655329450,1655772985,True,41,0,0.789900243282318115,0,True,False,True,76561198010586084,439,8,914,914,714,1655990197,1574240.0
1,117130415,english,"Dread Delusions borrows ideas from many classic RPGs and blends them up into something lighter, more digestible for a modern audience. It’s like The End of Dyeus, but focused more on being an Elder Scrolls like. It might look like Morrowind, but it only has the depth of something like Skyrim. You wake up as a prisoner and quickly learn that most factions in the game are disliked. That being said the game world is incredibly engrossing and I enjoyed scouring each floating island for delusions, the things that level you up. However, that brings me to my one real complaint about the game so far – it’s incredibly shallow as of right now in Early Access. The gameplay loop is simple - seeing a building on the horizon, killing or sneaking past enemies on your way to the building. Then killing something in the building, charming someone in the building, or using lore to use switches. Then upstairs or downstairs there’s a delusion and a chest containing some sort of monitory loot. Of course, this doesn’t apply to every house or tower in the game, but it’s a majority of them. Later in the game you find yourself looking for ore to upgrade your armor and weapons, and some NPCs hint that you should check out the mines that dot the countryside. You get excited to explore some abandoned mines – only find out that they’re just a hallway and a single room with no enemies that sometimes spawns ore. It’s a great game world that just doesn’t have a lot of variation of activities right now. Still, these are minor complaints that I hope are addressed in later areas. It’s a good game, and I’m excited to see where it goes.",1655479051,1655479051,True,19,0,0.730408966541290283,0,True,False,True,76561197972347621,792,81,402,402,251,1656011361,1574240.0
2,117155892,english,mmm 400 year old ghoul told me the history of anti religious rainbow knights 10/10,1655516014,1655516014,True,24,10,0.7227935791015625,0,True,False,True,76561199106895647,145,1,295,295,188,1655546879,1574240.0
3,117106950,english,"Weird ethereal blend of HP Lovecraft, Berserk following the Eclipse, The Elder Scrolls II Daggerfall, Morrowind, Arx Fatalis and King's Field. If that appeals to you, buy it now because I highly recommend it. I'm just barely scratching the surface of the game but it's huge and there's a lot to do and a lot of ways to do it.",1655437400,1655437400,True,12,0,0.6445884108543396,0,False,False,True,76561197971233997,1482,41,119,119,90,1655438615,1574240.0
4,117185364,english,"This game currently has bugs, 6-8 hours of content and is far from finished, yet I recommend it very highly. The content that is there is great, animations have alot of charm and the world is fantastic. Even with the little content there is I would say it is WELL worth the asking price, amazing gem which is only gonna get better.",1655564683,1655564683,True,8,1,0.632915258407592773,0,True,False,True,76561198047769151,706,43,292,292,196,1655637430,1574240.0
5,117043238,english,"Loving it so far, the art direction, style, and music is 10/10.  It's also kinda nice seeing an RPG like this rather than a boomer shooter.  I think the combat is a bit iffy, as it seems circling around and spamming left click gets the job done easily.  But i think the overall experience so far is great, i very very much look forward to see where this game goes :)",1655328828,1655328828,True,13,0,0.620210945606231689,0,True,False,True,76561198004439287,665,18,310,310,28,1655948833,1574240.0
6,117078745,english,"I have waited 2 years for this and on release it's not disappointed me. Plenty of places to explore, quests to do and people to speak to to keep you occupied for a while. A bit buggy (I've had an NPC just say 'text1, text2, text3 to me and a few speech options are command strings) but that's expected with early access. Excited for future updates. :)",1655395074,1655395074,True,9,1,0.616145133972167969,0,True,False,True,76561198131724749,197,23,637,637,393,1656031924,1574240.0
7,117048345,english,"There's clearly a lot here even without the game being fully finished. The tutorial aspects are kept short and sweet and although the game gives you loose directions on where to go next, you have a lot of freedom after getting the ability to enter new islands, which really help with promoting player exploration of the world. Systems I've encountered so far are kept relatively basic, which I think works in favor of what the game is aiming to be. 

Controls are a bit unconventional but a quick read of the controls settings and its very easy to understand and or rebind. I think this is still a good thing, because the game is clearly trying to be older in style. 

Combat is very straight forward, but I don't think it has to be this grand spectacle. Spells and potions are fun to use and provide enough variety that it stays engaging enough. And the ability to upgrade weapons and armor is a nice touch.

Quests are interesting and unique so far with characters being personally tied to the quests they give you and are fun little stories, and so far the lore of these islands is really interesting and the unique environments and contraptions you can find provide a lot of wonder as to what is happening. Shops are also really neat and each of them fit their roles. Leveling up the skills provides a direct correlation to whatever you want to be best at, which works very well. 

Overall I am really looking forward to how this game progresses and still have a lot to do in my current save, from what I can tell i'm just getting started with whats in the game currently. I hope the devs can continue to update, add and bring improvements to what is already here.",1655338742,1655340184,True,12,0,0.604656994342803955,2,True,False,True,76561198078732976,597,13,93,93,80,1655340524,1574240.0
8,117135218,english,"Yes yes yes. Please make this a trend, the more morrowind esque games that will be made the merrier. The lore in this game and the world is very unique and i love it",1655485112,1655485112,True,5,0,0.598379909992218018,0,True,False,True,76561198127467468,892,51,70,70,70,1655485038,1574240.0
9,117051082,english,"Visually this game is downright inspired, a 10/10 in the visual department without a doubt. A surreal nightmare world that is just breathing with character and depth, I mean you can see in the previews how this game looks, fantastic. I called it a sort of midquel between Daggerfall and Morrowind, the sort of older style of Daggerfall but the inspiration and alien world of Morrowind.

The gameplay is fun but simple, spells are super interesting, combat is dodging based, physically moving yourself around enemies attacks as you jump back in to try and land another hit.

The lore and world are very very interesting, like genuinely so unique and fun. A world where a god-hating Inquisition rules that have deemed religion heresy. There is so much beneath the surface to discover as well, and everytime I entered a new location something new was there to suck me in. The world itself reminds me a lot of the excellent game Blasphemous.

There are many quests I've already come across in such a short amount of time, and even guilds! 

This is shaping up to be an amazing game and I'm going to be looking forward to every new update with bated breath.",1655344261,1655418970,True,11,0,0.58890235424041748,0,False,False,True,76561198080762628,622,156,132,132,122,1655421013,1574240.0
